,u,i,name,ts,label,cat,subcat,state,idx,cat_subcat
16636,1325,1766,DoorDash,2617,42.58,Restaurants,Delivery Aggregators,Ohio,19893,Restaurants - Delivery Aggregators
16637,1006,1884,Taco Bell,2617,6.48,Restaurants,QSR,Texas,15414,Restaurants - QSR
16638,1349,1782,Foodsby,2617,12.54,Restaurants,Delivery Aggregators,Illinois,20224,Restaurants - Delivery Aggregators
16639,993,1733,AutoZone,2617,29.88,Autos,Auto Parts & Services,North Carolina,15246,Autos - Auto Parts & Services
16640,734,1917,honeygrow,2617,13.59,Restaurants,Fast Casual,California,11473,Restaurants - Fast Casual
16641,1305,1760,Dairy Queen,2617,26.67,Restaurants,QSR,New York,19597,Restaurants - QSR
16642,190,1727,Applebee's,2617,13.0,Restaurants,Casual Dining,California,2864,Restaurants - Casual Dining
16643,1306,1872,ShopRite,2617,18.39,Grocers,Supermarkets,New Jersey,19661,Grocers - Supermarkets
16644,669,1770,Eventbrite,2617,539.91,Events & Attractions,Booking Platforms,Pennsylvania,10576,Events & Attractions - Booking Platforms
16645,388,1838,Panda Express,2617,27.0,Restaurants,Fast Casual,Washington,5910,Restaurants - Fast Casual
16646,447,1833,NAPA Auto Parts,2617,67.2,Autos,Auto Parts & Services,Wyoming,6921,Autos - Auto Parts & Services
16647,1407,1881,Sprouts Farmers Market,2617,81.53,Grocers,Supermarkets,Texas,21052,Grocers - Supermarkets
16648,120,1840,Papa John's,2617,16.05,Restaurants,QSR,Georgia,1668,Restaurants - QSR
16649,952,1800,Ingles Markets,2617,8.82,Grocers,Supermarkets,Georgia,14448,Grocers - Supermarkets
16650,266,1899,Valvoline Instant Oil Change,2617,94.21,Autos,Auto Parts & Services,Virginia,4192,Autos - Auto Parts & Services
16651,1305,1840,Papa John's,2617,32.06,Restaurants,QSR,New York,19609,Restaurants - QSR
16652,287,1903,Waffle House,2617,37.43,Restaurants,Casual Dining,Pennsylvania,4497,Restaurants - Casual Dining
16653,758,1879,Sonic Drive-In,2617,21.58,Restaurants,QSR,Colorado,11900,Restaurants - QSR
16654,1341,1903,Waffle House,2617,15.77,Restaurants,Casual Dining,Georgia,20029,Restaurants - Casual Dining
16655,91,1894,Trader Joe's,2617,50.12,Grocers,Supermarkets,Georgia,1230,Grocers - Supermarkets
16656,728,1907,Whole Foods Market,2617,1.52,Grocers,Supermarkets,Illinois,11317,Grocers - Supermarkets
16657,1704,1724,Albertsons,2617,188.11,Grocers,Supermarkets,Washington,24752,Grocers - Supermarkets
16658,1093,1886,Texas Roadhouse,2618,17.07,Restaurants,Casual Dining,Tennessee,16706,Restaurants - Casual Dining
16659,181,1752,City Market,2618,8.68,Grocers,Supermarkets,Virginia,2736,Grocers - Supermarkets
16660,442,1760,Dairy Queen,2618,9.16,Restaurants,QSR,Maine,6742,Restaurants - QSR
16661,1395,1844,Pep Boys,2618,641.56,Autos,Auto Parts & Services,Georgia,20905,Autos - Auto Parts & Services
16662,749,1846,Pizza Hut,2618,50.41,Restaurants,QSR,Texas,11614,Restaurants - QSR
16663,225,1766,DoorDash,2618,32.39,Restaurants,Delivery Aggregators,Illinois,3427,Restaurants - Delivery Aggregators
16664,703,1894,Trader Joe's,2618,69.55,Grocers,Supermarkets,Florida,11021,Grocers - Supermarkets
16665,95,1884,Taco Bell,2618,4.65,Restaurants,QSR,Virginia,1303,Restaurants - QSR
16666,1277,1766,DoorDash,2618,20.67,Restaurants,Delivery Aggregators,New Jersey,19171,Restaurants - Delivery Aggregators
16667,741,1907,Whole Foods Market,2618,38.1,Grocers,Supermarkets,New York,11530,Grocers - Supermarkets
16668,1521,1899,Valvoline Instant Oil Change,2618,123.03,Autos,Auto Parts & Services,Ohio,22517,Autos - Auto Parts & Services
16669,953,1777,Food 4 Less,2618,11.75,Grocers,Discount Grocers,Illinois,14563,Grocers - Discount Grocers
16670,1148,1839,Panera Bread,2618,32.97,Restaurants,Fast Casual,North Carolina,17442,Restaurants - Fast Casual
16671,572,1906,White Castle,2618,8.52,Restaurants,QSR,Kentucky,9057,Restaurants - QSR
16672,160,1906,White Castle,2618,7.39,Restaurants,QSR,Kentucky,2486,Restaurants - QSR
16673,1350,1733,AutoZone,2618,45.28,Autos,Auto Parts & Services,Texas,20263,Autos - Auto Parts & Services
16674,1012,1777,Food 4 Less,2618,20.0,Grocers,Discount Grocers,Illinois,15491,Grocers - Discount Grocers
16675,434,1773,Farmer's Fridge,2618,5.63,Grocers,Specialty Grocers,Illinois,6695,Grocers - Specialty Grocers
16676,729,1884,Taco Bell,2618,24.65,Restaurants,QSR,Florida,11394,Restaurants - QSR
16677,728,1907,Whole Foods Market,2618,2.0,Grocers,Supermarkets,Illinois,11318,Grocers - Supermarkets
16678,1554,1840,Papa John's,2618,29.62,Restaurants,QSR,Kentucky,22856,Restaurants - QSR
16679,510,1907,Whole Foods Market,2618,11.13,Grocers,Supermarkets,Texas,7962,Grocers - Supermarkets
16680,234,1731,Auntie Anne's,2618,11.98,Restaurants,QSR,Pennsylvania,3532,Restaurants - QSR
16681,841,1727,Applebee's,2618,72.18,Restaurants,Casual Dining,Indiana,12889,Restaurants - Casual Dining
16682,1071,1879,Sonic Drive-In,2618,6.05,Restaurants,QSR,Georgia,16417,Restaurants - QSR
16683,1511,1884,Taco Bell,2618,7.4,Restaurants,QSR,Kentucky,22235,Restaurants - QSR
16684,1507,1894,Trader Joe's,2618,174.5,Grocers,Supermarkets,North Carolina,22215,Grocers - Supermarkets
16685,656,1884,Taco Bell,2618,19.88,Restaurants,QSR,Ohio,10362,Restaurants - QSR
16686,1288,1831,Mister Car Wash,2618,14.0,Autos,Auto Parts & Services,Colorado,19318,Autos - Auto Parts & Services
16687,1684,1760,Dairy Queen,2618,4.49,Restaurants,QSR,Colorado,24429,Restaurants - QSR
16688,99,1755,Cook Out,2618,20.24,Restaurants,QSR,North Carolina,1384,Restaurants - QSR
16689,1202,1733,AutoZone,2618,10.79,Autos,Auto Parts & Services,Pennsylvania,18044,Autos - Auto Parts & Services
16690,895,1733,AutoZone,2618,27.23,Autos,Auto Parts & Services,Missouri,13578,Autos - Auto Parts & Services
16691,657,1884,Taco Bell,2618,11.47,Restaurants,QSR,West Virginia,10374,Restaurants - QSR
16692,1554,1766,DoorDash,2618,16.23,Restaurants,Delivery Aggregators,Kentucky,22849,Restaurants - Delivery Aggregators
16693,1207,1839,Panera Bread,2618,8.22,Restaurants,Fast Casual,Indiana,18162,Restaurants - Fast Casual
16694,280,1798,Hooters,2618,25.62,Restaurants,Casual Dining,Virginia,4398,Restaurants - Casual Dining
16695,1347,1888,Think Coffee,2618,4.75,Restaurants,QSR,New York,20184,Restaurants - QSR
16696,1047,1839,Panera Bread,2618,20.28,Restaurants,Fast Casual,New York,16032,Restaurants - Fast Casual
16697,756,1865,Ruler Foods,2618,44.2,Grocers,Discount Grocers,Indiana,11811,Grocers - Discount Grocers
16698,1266,1766,DoorDash,2618,41.41,Restaurants,Delivery Aggregators,Ohio,18986,Restaurants - Delivery Aggregators
16699,126,1760,Dairy Queen,2618,14.11,Restaurants,QSR,Tennessee,1857,Restaurants - QSR
16700,1714,1831,Mister Car Wash,2618,11.0,Autos,Auto Parts & Services,Georgia,24930,Autos - Auto Parts & Services
16701,955,1821,Main Event,2618,195.3,Events & Attractions,Indoor Entertainment Centers,Texas,14620,Events & Attractions - Indoor Entertainment Centers
16702,953,1749,Chili's,2618,23.99,Restaurants,Casual Dining,Illinois,14469,Restaurants - Casual Dining
16703,95,1838,Panda Express,2618,12.03,Restaurants,Fast Casual,Virginia,1266,Restaurants - Fast Casual
